JUCE v5.3.2
Start MalKovChainSequencer
Start analysis
Num Tracks = 1
Start reading MIDI ...
============================================
Read Track: 0
NOTEON: NoteNumber:46 at: 11.304167
NOTEOFF: NoteNumber:46 at: 11.329167
NOTEON: NoteNumber:42 at: 11.400000
NOTEON: NoteNumber:46 at: 11.404167
NOTEON: NoteNumber:28 at: 11.404167
NOTEOFF: NoteNumber:42 at: 11.408333
NOTEON: NoteNumber:40 at: 11.408333
NOTEOFF: NoteNumber:28 at: 11.412500
NOTEOFF: NoteNumber:40 at: 11.416667
NOTEOFF: NoteNumber:46 at: 11.429167
NOTEON: NoteNumber:46 at: 11.504167
NOTEON: NoteNumber:28 at: 11.504167
NOTEON: NoteNumber:40 at: 11.508333
NOTEOFF: NoteNumber:28 at: 11.512500
NOTEOFF: NoteNumber:40 at: 11.516667
NOTEOFF: NoteNumber:46 at: 11.529167
NOTEON: NoteNumber:38 at: 11.595833
NOTEON: NoteNumber:36 at: 11.595833
NOTEON: NoteNumber:42 at: 11.600000
NOTEOFF: NoteNumber:38 at: 11.604167
NOTEOFF: NoteNumber:36 at: 11.604167
NOTEON: NoteNumber:46 at: 11.604167
NOTEON: NoteNumber:28 at: 11.604167
NOTEOFF: NoteNumber:42 at: 11.608333
NOTEON: NoteNumber:40 at: 11.608333
NOTEOFF: NoteNumber:28 at: 11.612500
NOTEOFF: NoteNumber:40 at: 11.616667
NOTEOFF: NoteNumber:46 at: 11.629167
NOTEON: NoteNumber:58 at: 11.704167
NOTEOFF: NoteNumber:58 at: 11.729167
NOTEON: NoteNumber:42 at: 11.800000
NOTEON: NoteNumber:53 at: 11.804167
NOTEON: NoteNumber:28 at: 11.804167
NOTEOFF: NoteNumber:42 at: 11.808333
NOTEOFF: NoteNumber:28 at: 11.812500
NOTEOFF: NoteNumber:53 at: 11.829167
NOTEON: NoteNumber:50 at: 11.904167
NOTEON: NoteNumber:28 at: 11.904167
NOTEOFF: NoteNumber:28 at: 11.912500
NOTEOFF: NoteNumber:50 at: 11.929167
NOTEON: NoteNumber:36 at: 11.995833
NOTEON: NoteNumber:42 at: 12.000000
NOTEOFF: NoteNumber:36 at: 12.004167
NOTEON: NoteNumber:46 at: 12.004167
NOTEON: NoteNumber:28 at: 12.004167
NOTEOFF: NoteNumber:42 at: 12.008333
NOTEOFF: NoteNumber:28 at: 12.012500
NOTEOFF: NoteNumber:46 at: 12.029167
